id_openalex,titulo,ano,autores,revista,doi,citado_por,abstract,palavras_chave_openalex
https://openalex.org/W2921571282,"Rare earth elements: A review of applications, occurrence, exploration, analysis, recycling, and environmental impact",2019,V. Balaram,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2018.12.005,2111,"Rare earth elements (REE) include the lanthanide series elements (La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, and Lu) plus Sc and Y. Currently these metals have become very critical to several modern technologies ranging from cell phones and televisions to LED light bulbs and wind turbines. This article summarizes the occurrence of these metals in the Earth's crust, their mineralogy, different types of deposits both on land and oceans from the standpoint of the new data with more examples from the Indian subcontinent. In addition to their utility to understand the formation of the major Earth reservoirs, multi-faceted updates on the applications of REE in agriculture and medicine including new emerging ones are presented. Environmental hazards including human health issues due to REE mining and large-scale dumping of e-waste containing significant concentrations of REE are summarized. New strategies for the future supply of REE including recent developments in the extraction of REE from coal fired ash and recycling from e-waste are presented. Recent developments in individual REE separation technologies in both metallurgical and recycling operations have been highlighted. An outline of the analytical methods for their precise and accurate determinations required in all these studies, such as, X-ray fluorescence spectrometry (XRF), laser induced breakdown spectroscopy (LIBS), instrumental neutron activation analysis (INAA), inductively coupled plasma optical emission spectrometry (ICP-OES), glow discharge mass spectrometry (GD-MS), inductively coupled plasma mass spectrometry (including ICP-MS, ICP-TOF-MS, HR-ICP-MS with laser ablation as well as solution nebulization) and other instrumental techniques, in different types of materials are presented.",Neutron activation analysis; Inductively coupled plasma mass spectrometry; Environmental science; Rare earth; Mass spectrometry; Environmental chemistry; Geology; Chemistry; Mineralogy; Radiochemistry
https://openalex.org/W2201805341,A Detailed Assessment of Global Rare Earth Element Resources: Opportunities and Challenges,2015,"Zhehan Weng, Simon M. Jowitt, Gavin M. Mudd, Nawshad Haque",Economic Geology,https://doi.org/10.2113/econgeo.110.8.1925,420,"Rare earth elements (REE) are indispensable to infrastructure, technology, and modern lifestyles, which has led to an increasing demand for these elements. The current global rare earth oxides (REO) market is dominated by Chinese production, which peaked in 2006 at 133,000 tonnes REO per year, accounting for some 97.1% of global production, causing concern about the long-term supply of REE resources. Although the REE consist of 17 individual elements (15 lanthanides plus scandium and yttrium) that are hosted by numerous types of mineralization, the relatively modest scale of the global REE mining sector has limited our knowledge of REE mineral resources and mineralizing systems compared to metals such as copper and iron, which are produced in much larger quantities. In order to quantitatively analyze the mineralogy, concentrations, and geologic types of REE deposits, we compiled a global dataset of REE mineral resources based on the most recently available data (2013-2014). This compilation yields minimum global contained total rare earth oxides plus yttrium oxide (TREO + Y) resources of 619.5 Mt split between 267 deposits. Deposits with available grade and tonnage data (260 of the 267 deposits in our database) contain some 88,483 Mt of mineral resources at an average concentration of 0.63% TREO + Y, hosting 553.7 Mt TREO + Y. Of the 267 total deposits in our database, some 160 have mineral resources reported using statutory mining codes (e.g., JORC, NI43-101, SAMREC), with the remaining 107 projects having CRIRSCO-noncompliant mineral resources that are based on information available in the industry literature and peer-reviewed scientific articles. Approximately 51.4% of global REO resources are hosted by carbonatite deposits, and bastnäsite, monazite, and xenotime are the three most significant REE minerals, accounting for ≥90% of the total resources within our database.",Rare-earth element; Mineral resource classification; Geology; Mineralization (soil science); Rare earth; Yttrium; Geochemistry; Mineralogy; Earth science; Chemistry; Soil science; Oxide; Soil water
https://openalex.org/W2765765398,Global Potential of Rare Earth Resources and Rare Earth Demand from Clean Technologies,2017,"Baolu Zhou, Zhongxue Li, Congcong Chen",Minerals,https://doi.org/10.3390/min7110203,525,"Rare earth elements (REE) are widely used in high technologies, medical devices, and military defense systems, and are especially indispensable in emerging clean energy. Along with the growing market of green energy in the next decades, global demand for REE will increase continuously, which will put great pressure on the current REE supply chain. The global REE production is currently mainly concentrated in China and Australia; they respectively contributed 85% and 10% in 2016. However, there are 178 deposits widely distributed in the world, and reported REE resources as of 2017 totaled 478 megaton (Mt) rare earth oxides (REO); 58% of these deposits contained exceed 0.1 Mt REO; 59 deposits have been technically assessed. These resources could sustain the global REE production at the current pace for more than a hundred years. It is noted that REE demand from clean technologies will reach 51.9 thousand metric tons (kt) REO in 2030, Nd and Dy, respectively, comprising 75% and 9%, while these two elements comprise 15% and 0.52% of the global REE resources, respectively. This indicates that Nd and Dy will strongly influence the development of exploring new REE projects and clean technologies in the next decades.",Rare earth; Tonne; Pace; Environmental science; Energy resources; Earth science; Natural resource economics; Business; Environmental protection; Geology; Waste management; Engineering; Economics
https://openalex.org/W1538927420,Rare earth elements,2013,Frances Wall,,https://doi.org/10.1002/9781118755341.ch13,390,"The rare earth elements (REE) are soft, silver-coloured metals that tarnish quickly in air and have high melting points. The REE range in abundance in the crust from about the same level as copper and lead down to the same levels as bismuth. There are many potential REE ore deposits in a wide variety of rocks. The world's largest REE deposit at Bayan Obo, Inner Mongolia, China has produced REE since the late 1980s and currently accounts for the majority of global REE supply. Most REE mines, such as Bayan Obo, Mountain Pass and Mount Weld, are open-cast operations, involving conventional blast, load and haul techniques. REE have a wide variety of applications and, although they are often used in small quantities, they have become pervasive in many technologies, especially those for improving energy efficiency and in digital technologies. Exploration activity for REE has increased greatly in recent years.",Rare earth; Geochemistry; Geology; Rare-earth element; Crust; Earth science
https://openalex.org/W4200261466,Journal of the Southern African Institute of Mining and Metallurgy,2021,"Wildenboer, R.A., Sandenbergh, Roelf",Journal of the Southern African Institute of Mining and Metallurgy,https://doi.org/10.17159/2411-9717,831,"Rare earth elements (REE) are present at concentrations of approximately 0.36 % in phosphogypsum stacks located in Phalaborwa, South Africa. The REE are present in the phosphogypsum in solid solution in the gypsum and as fluorine and aluminium rich precipitates. Recovery of the REE offers opportunities for valorization and reducing the environmental impact of the phosphogypsum waste. This paper presents the results of investigations into the leaching behaviour of rare earth elements and other impurities from phosphogypsum using aqueous sulfuric acid. The effects of acid concentration, temperature, residence time, and the influence of impurities were evaluated for their impact on the solubility of rare earth elements in a sulfate medium. It was found that a significant fraction of the REE can be leached from the phosphogypsum in a range of conditions much less severe than traditional hard rock rare earth processing conditions. The REE were leached at a sulfuric acid concentration of 110 g/l, temperature of 30°C – 40°C and a residence time of approximately 8 hours.",Mining engineering; Metallurgy; Engineering; Geography; Materials science
https://openalex.org/W1532217327,Rare Earth Elements: The Global Supply Chain,2013,Marc Humphries,University of North Texas Digital Library (University of North Texas),,419,"The concentration of production of rare earth elements (REEs) outside the United States raises the important issue of supply vulnerability. REEs are used for new energy technologies and national security applications. This report provides a discussion on the major issues and concerns of the global supply chain for rare earth elements, their major end uses, and legislative and other policy proposals that Congress may consider to improve the U.S. rare earth position.",Rare earth; Legislature; Supply chain; Vulnerability (computing); Position (finance); Energy supply; Business; Natural resource economics; Political science; Energy (signal processing); Earth science; Economics; Computer science; Computer security; Law; Geology; Finance
https://openalex.org/W2507516408,Multicomponent equiatomic rare earth oxides,2016,"Ruzica Djenadic, Abhishek Sarkar, Oliver Clemens, Christoph Loho, Miriam Botros, Venkata Sai Kiran Chakravadhanula, Christian Kübel, Subramshu S. Bhattacharya, Ashutosh Gandhi, Horst Hahn",Materials Research Letters,https://doi.org/10.1080/21663831.2016.1220433,352,"Multicomponent rare earth oxide (REO) nanocrystalline powders containing up to seven equiatomic rare earth elements were successfully synthesized in a single-phase CaF2-type (Fm-3 m) structure. The addition of more than six elements resulted in the formation of a secondary phase. Annealing at 1000°C for 1 h led to the formation of a single-phase (Ia-3) even in the 7-component system. In the absence of cerium (Ce4+), secondary phases were observed irrespective of the number of cations or the extent of thermal treatment indicating that cerium cations played a crucial role in stabilizing the multicomponent REOs into a phase pure structure.",Rare earth; Cerium; Materials science; Nanocrystalline material; Annealing (glass); Oxide; Phase (matter); Cerium oxide; Crystallography; Solid solution; Inorganic chemistry; Metallurgy; Nanotechnology; Chemistry
https://openalex.org/W1957272202,Rare earth metals are essential for methanotrophic life in volcanic mudpots,2013,"Arjan Pol, Thomas R. M. Barends, Andreas Dietl, Ahmad F. Khadem, Jelle Eygensteyn, Mike S. M. Jetten, Huub J. M. Op den Camp",Environmental Microbiology,https://doi.org/10.1111/1462-2920.12249,517,"Growth of Methylacidiphilum fumariolicum SolV, an extremely acidophilic methanotrophic microbe isolated from an Italian volcanic mudpot, is shown to be strictly dependent on the presence of lanthanides, a group of rare earth elements (REEs) such as lanthanum (Ln), cerium (Ce), praseodymium (Pr) and neodymium (Nd). After fractionation of the bacterial cells and crystallization of the methanol dehydrogenase (MDH), it was shown that lanthanides were essential as cofactor in a homodimeric MDH comparable with one of the MDHs of Methylobacterium extorquens AM1. We hypothesize that the lanthanides provide superior catalytic properties to pyrroloquinoline quinone (PQQ)-dependent MDH, which is a key enzyme for both methanotrophs and methylotrophs. Thus far, all isolated MxaF-type MDHs contain calcium as a catalytic cofactor. The gene encoding the MDH of strain SolV was identified to be a xoxF-ortholog, phylogenetically closely related to mxaF. Analysis of the protein structure and alignment of amino acids showed potential REE-binding motifs in XoxF enzymes of many methylotrophs, suggesting that these may also be lanthanide-dependent MDHs. Our findings will have major environmental implications as metagenome studies showed (lanthanide-containing) XoxF-type MDH is much more prominent in nature than MxaF-type enzymes.",Biology; Cofactor; Methanol dehydrogenase; Lanthanum; Lanthanide; Enzyme; Biochemistry; Praseodymium; Pyrroloquinoline quinone; Chemistry; Inorganic chemistry
https://openalex.org/W3082934142,Adsorption of rare earth elements in regolith-hosted clay deposits,2020,"Anouk Borst, Martin Smith, Adrian A. Finch, Guillaume Estrade, Cristina Villanova-de-Benavent, Peter Nason, Eva Marquis, Nicola J. Horsburgh, Kathryn Goodenough, Cheng Xu, Jindřích Kynický, Kalotina Geraki",Nature Communications,https://doi.org/10.1038/s41467-020-17801-5,412,"Global resources of heavy Rare Earth Elements (REE) are dominantly sourced from Chinese regolith-hosted ion-adsorption deposits in which the REE are inferred to be weakly adsorbed onto clay minerals. Similar deposits elsewhere might provide alternative supply for these high-tech metals, but the adsorption mechanisms remain unclear and the adsorbed state of REE to clays has never been demonstrated in situ. This study compares the mineralogy and speciation of REE in economic weathering profiles from China to prospective regoliths developed on peralkaline rocks from Madagascar. We use synchrotron X-ray absorption spectroscopy to study the distribution and local bonding environment of Y and Nd, as proxies for heavy and light REE, in the deposits. Our results show that REE are truly adsorbed as easily leachable 8- to 9-coordinated outer-sphere hydrated complexes, dominantly onto kaolinite. Hence, at the atomic level, the Malagasy clays are genuine mineralogical analogues to those currently exploited in China.",Regolith; Adsorption; Weathering; Geochemistry; Clay minerals; Kaolinite; Geology; Mineralogy; Earth science; Environmental chemistry; Chemistry; Astrobiology; Physics
https://openalex.org/W2883026210,Current progress and future challenges in rare-earth-free permanent magnets,2018,"Jun Cui, M. J. Kramer, Lin Zhou, Fei Liu, A.M. Gabay, G. C. Hadjipanayis, Balamurugan Balasubramanian, D. J. Sellmyer",Acta Materialia,https://doi.org/10.1016/j.actamat.2018.07.049,608,"Permanent magnets (PM) are critical components for electric motors and power generators. Key properties of permanent magnets, especially coercivity and remanent magnetization, are strongly dependent on microstructure. Understanding metallurgical processing, phase stability and microstructural changes are essential for designing and improving permanent magnets. The widely used PM for the traction motor in electric vehicles and for the power generator in wind turbines contain rare earth elements Nd and Dy due to their high maximum energy product. Dy is used to sustain NdFeB's coercivity at higher temperature. Due to the high supply risk of rare earth elements (REE) such as Dy and Nd, these elements are listed as critical materials by the U.S. Department of Energy and other international institutes. Other than Dy, finer grain size is also found to have effect on sustaining coercivity at higher temperature. A proper control of phase stability and microstructures has direct impact on mitigating REE supply risk. Compared to rare earth PMs, non-rare earth (non-RE) PMs typically have lower maximum energy products, however, given their small supply risks and low cost, they are being intensively investigated for less-demanding applications. The general goal for the development of non-RE PMs is to fill in the gap between the most cost-effective but low performing hard ferrite magnet and the most expensive but high performing RE PMs. In the past five years great progress has been made toward improving the microstructure and physical properties of non-RE PMs. Several new candidate materials systems were investigated, and some have showed realistic potential for replacing RE PMs for some applications. In this article, we review the science and technology of various types of non-RE materials for PM applications. These materials systems include Mn based, high magnetocrystalline anisotropy alloys (MnBi and MnAl compounds), spinodally decomposing alloys (Alnico), high-coercivity tetrataenite L10 phase (FeNi and FeCo), and nitride/carbide systems (such as α"" based, high saturation magnetization Fe16N2 type phase and Co2C/Co3C acicular particle phase). The current status, challenges, potentials as well as the future directions for these candidates non-RE magnet materials are discussed.",Materials science; Coercivity; Neodymium magnet; Magnet; Microstructure; Rare earth; Remanence; Engineering physics; Metallurgy; Mechanical engineering; Magnetization; Condensed matter physics; Magnetic field; Engineering
